model,scheme,horizon,n_obs,QLIKE,RMSE
B1.1,RW,1,252,-7.655406798619429,0.0006080443846582011
B1.1,RW,5,252,-6.309599531535176,0.0017952154761635359
B1.1,IW,1,252,-7.660882423023118,0.000608527342612526
B1.1,IW,5,252,-6.3071947496612575,0.0018077446116052443
B1.2,RW,1,252,-7.757590118753231,0.0006312035416968721
B1.2,RW,5,252,-6.366671979826346,0.0020228066562357917
B1.2,IW,1,252,-7.758056979913278,0.0006293024483868562
B1.2,IW,5,252,-6.365324410489832,0.002014186200082312
B1.3,RW,1,252,-7.767212017538735,0.0005861140524630744
B1.3,RW,5,252,-6.374985932688392,0.0016373643684358577
B1.3,IW,1,252,-7.773422659313321,0.0005871778176909383
B1.3,IW,5,252,-6.375359420195789,0.0016458138537800103
B2.1,RW,1,252,-7.6553863957449195,0.0006079848706519015
B2.1,RW,5,252,-6.309971303909865,0.0017944058384564083
B2.1,IW,1,252,-7.661243237770534,0.0006085264801119064
B2.1,IW,5,252,-6.307177334280768,0.0018083448783035138
B2.2,RW,1,252,-7.640812573512249,0.00060917557360877
B2.2,RW,5,252,-6.297866223607422,0.0018078388200144925
B2.2,IW,1,252,-7.63841032816757,0.0006100309502156405
B2.2,IW,5,252,-6.292152608356646,0.0018190037108084714
B5.3,RW,1,252,-7.6541823834046605,0.0006080020439330323
B5.3,RW,5,252,-6.308253271770191,0.0017944366093855912
B5.4,RW,1,252,-7.638561202295845,0.0006099116611014294
B5.4,RW,5,252,-6.305123748447617,0.0018001083174061263
B5.5,RW,1,252,-7.655481280567174,0.0006080733151852801
B5.5,RW,5,252,-6.309786008420726,0.0017940921527837793
