subsample,model,scheme,horizon,n_obs,QLIKE,RMSE
2019_normal,B1.1,RW,1,50,-8.56300847580374,0.00013536422409432379
2019_normal,B1.1,RW,5,50,-6.963523032127281,0.0003535084770076265
2019_normal,B1.1,IW,1,50,-8.5672844694423,0.0001352547601875387
2019_normal,B1.1,IW,5,50,-6.961466979260938,0.00035596226684450963
2019_normal,B1.2,RW,1,50,-8.688055391703074,0.00013219872871370072
2019_normal,B1.2,RW,5,50,-7.027014508696125,0.00035915689490421954
2019_normal,B1.2,IW,1,50,-8.687986976620618,0.00013218497277774983
2019_normal,B1.2,IW,5,50,-7.027447832188154,0.00035964276116869174
2019_normal,B1.3,RW,1,50,-8.658143181819446,0.0001347772489668112
2019_normal,B1.3,RW,5,50,-7.028871716107063,0.00035194382284981754
2019_normal,B1.3,IW,1,50,-8.666955880257662,0.0001346058914187118
2019_normal,B1.3,IW,5,50,-7.031872331838234,0.0003539221026538838
2019_normal,B2.1,RW,1,50,-8.563693636892175,0.00013529627186998667
2019_normal,B2.1,RW,5,50,-6.964231427854965,0.0003536121166447597
2019_normal,B2.1,IW,1,50,-8.567289890501133,0.00013527484459884085
2019_normal,B2.1,IW,5,50,-6.961165912134082,0.0003563156787144339
2019_normal,B2.2,RW,1,50,-8.582154075041666,0.00013503994161395634
2019_normal,B2.2,RW,5,50,-6.972957641582717,0.00035030673324948445
2019_normal,B2.2,IW,1,50,-8.58377227621212,0.00013514980984816416
2019_normal,B2.2,IW,5,50,-6.968127292948904,0.0003520241154569215
2019_normal,B5.3,RW,1,50,-8.556495092676563,0.00013553686649301564
2019_normal,B5.3,RW,5,50,-6.9587801228861785,0.0003564298470836257
2019_normal,B5.4,RW,1,50,-8.580698660405341,0.00013448794208406625
2019_normal,B5.4,RW,5,50,-6.967946402231929,0.0003447697804040953
2019_normal,B5.5,RW,1,50,-8.56291352544774,0.00013536454626666202
2019_normal,B5.5,RW,5,50,-6.963749752485556,0.0003540893129161413
2020_2021_covid,B1.1,RW,1,101,-6.974613153484484,0.0009088410472757477
2020_2021_covid,B1.1,RW,5,101,-5.989568081392754,0.002690881384822083
2020_2021_covid,B1.1,IW,1,101,-6.990853185203402,0.0009096639282864836
2020_2021_covid,B1.1,IW,5,101,-5.986955829132362,0.00270768551948892
2020_2021_covid,B1.2,RW,1,101,-7.06349543288105,0.0009462048409848634
2020_2021_covid,B1.2,RW,5,101,-6.084894401960175,0.0030867652851102067
2020_2021_covid,B1.2,IW,1,101,-7.065835352659992,0.0009432062656664743
2020_2021_covid,B1.2,IW,5,101,-6.083010379175296,0.0030708657411646395
2020_2021_covid,B1.3,RW,1,101,-7.049726186932344,0.0008747230287992282
2020_2021_covid,B1.3,RW,5,101,-6.086017356384712,0.0024576100622574104
2020_2021_covid,B1.3,IW,1,101,-7.064582371665746,0.000875633848080029
2020_2021_covid,B1.3,IW,5,101,-6.092534248627388,0.0024666725709043295
2020_2021_covid,B2.1,RW,1,101,-6.974797150230546,0.0009087241168341187
2020_2021_covid,B2.1,RW,5,101,-5.990313090259678,0.002689216856174027
2020_2021_covid,B2.1,IW,1,101,-6.991835596143864,0.0009096216584623725
2020_2021_covid,B2.1,IW,5,101,-5.987274523055315,0.002708515668924889
2020_2021_covid,B2.2,RW,1,101,-6.933924105291663,0.0009088652319075483
2020_2021_covid,B2.2,RW,5,101,-5.966894676540392,0.002700020461361308
2020_2021_covid,B2.2,IW,1,101,-6.936759217129395,0.0009093701885720481
2020_2021_covid,B2.2,IW,5,101,-5.969360985308307,0.002704150834636203
2020_2021_covid,B5.3,RW,1,101,-6.975650230614414,0.0009087073412184909
2020_2021_covid,B5.3,RW,5,101,-5.988913875882503,0.0026890919978906705
2020_2021_covid,B5.4,RW,1,101,-6.931613291498048,0.0009095043347626946
2020_2021_covid,B5.4,RW,5,101,-5.97809062280802,0.002687819365345366
2020_2021_covid,B5.5,RW,1,101,-6.975002720625681,0.0009088891193799784
2020_2021_covid,B5.5,RW,5,101,-5.989998680516481,0.002688778517691611
2022_2023_infl,B1.1,RW,1,101,-7.886892682772042,0.00029563756824010744
2022_2023_infl,B1.1,RW,5,101,-6.3059064764339805,0.0008592636219045764
2022_2023_infl,B1.1,IW,1,101,-7.8821977764768985,0.00029561088816756816
2022_2023_infl,B1.1,IW,5,101,-6.303536526823972,0.0008714271978147758
2022_2023_infl,B1.2,RW,1,101,-7.9910584318779625,0.0003001950633111007
2022_2023_infl,B1.2,RW,5,101,-6.321547315677773,0.0007855778565924459
2022_2023_infl,B1.2,IW,1,101,-7.989917222657979,0.0002996755449980801
2022_2023_infl,B1.2,IW,5,101,-6.319854569676485,0.0007924857623641215
2022_2023_infl,B1.3,RW,1,101,-8.043642816322992,0.0002880809938095989
2022_2023_infl,B1.3,RW,5,101,-6.340248675616491,0.00076678996023465
2022_2023_infl,B1.3,IW,1,101,-8.039919768275578,0.00029074617983189876
2022_2023_infl,B1.3,IW,5,101,-6.333178199861993,0.0007822178629160755
2022_2023_infl,B2.1,RW,1,101,-7.886318591186393,0.00029570701164066736
2022_2023_infl,B2.1,RW,5,101,-6.30573836709218,0.0008602335003830154
2022_2023_infl,B2.1,IW,1,101,-7.882112932500868,0.0002957319549720691
2022_2023_infl,B2.1,IW,5,101,-6.303323423796659,0.000871883184135186
2022_2023_infl,B2.2,RW,1,101,-7.881690397411341,0.0003013908904093382
2022_2023_infl,B2.2,RW,5,101,-6.294634098409457,0.000896472526951236
2022_2023_infl,B2.2,IW,1,101,-7.872060474827253,0.00030414746772329423
2022_2023_infl,B2.2,IW,5,101,-6.280303298438518,0.0009390300436342656
2022_2023_infl,B5.3,RW,1,101,-7.886025076159314,0.0002957921063517445
